REG_ANS,Trimestre,Ano,Valor Despesas
316458,1,2025,1070.0
316458,1,2025,1070.0
316458,1,2025,1070.0
316458,1,2025,1070.0
316458,1,2025,500.0
312720,1,2025,100.0
312720,1,2025,100.0
312720,1,2025,1702358.0
314099,1,2025,261632.0
314099,1,2025,8262982.0
314587,1,2025,120120.0
314587,1,2025,14820.0
314587,1,2025,9360.0
314587,1,2025,8756.0
314587,1,2025,8756.0
314587,1,2025,8756.0
314587,1,2025,8756.0
314587,1,2025,8756.0
314587,1,2025,2260.0
314587,1,2025,1416.0
314781,1,2025,57528.0
315648,1,2025,10000.0
315648,1,2025,10000.0
315648,1,2025,22643.0
315648,1,2025,214.0
315648,1,2025,214.0
316903,1,2025,2517.0
316903,1,2025,2517.0
316903,1,2025,2517.0
316903,1,2025,2517.0
316903,1,2025,2517.0
316903,1,2025,4100.0
316903,1,2025,640.0
318213,1,2025,42342.0
318213,1,2025,2800.0
318213,1,2025,1450.0
318213,1,2025,350.0
318213,1,2025,350.0
318213,1,2025,1100.0
312720,1,2025,2760.0
312720,1,2025,2760.0
314099,1,2025,34891.0
314099,1,2025,390.0
314099,1,2025,390.0
314099,1,2025,14390.0
314099,1,2025,7.0
314099,1,2025,7.0
314099,1,2025,6059.0
314587,1,2025,1380.0
315648,1,2025,238500.0
315648,1,2025,238500.0
315648,1,2025,238500.0
315648,1,2025,238500.0
315648,1,2025,238500.0
315648,1,2025,7930.0
315648,1,2025,6100.0
313211,1,2025,244.0
313211,1,2025,244.0
313211,1,2025,652.0
313211,1,2025,652.0
314099,1,2025,1018.0
314099,1,2025,1018.0
314099,1,2025,3900.0
314099,1,2025,2250.0
314251,1,2025,70850.0
314251,1,2025,17550.0
314251,1,2025,36000.0
314251,1,2025,8166.0
314251,1,2025,1319.0
314251,1,2025,3500.0
315494,1,2025,2430.0
315494,1,2025,6525.0
315494,1,2025,6525.0
315494,1,2025,4320.0
315494,1,2025,4320.0
315494,1,2025,7745.0
315494,1,2025,7745.0
315494,1,2025,115.0
315494,1,2025,230.0
315494,1,2025,230.0
315648,1,2025,35.0
315648,1,2025,240.0
315648,1,2025,21019.0
315648,1,2025,29887.0
315648,1,2025,900.0
315648,1,2025,100.0
317144,1,2025,57362328.0
317144,1,2025,564.0
317144,1,2025,526264.0
318299,1,2025,1350566.0
318299,1,2025,1350566.0
318299,1,2025,1350566.0
318299,1,2025,1350566.0
318299,1,2025,1350566.0
318299,1,2025,157772.0
318299,1,2025,157772.0
318299,1,2025,157772.0
318299,1,2025,157772.0
318299,1,2025,6836021.0
314251,1,2025,473.0
315494,1,2025,6900.0
315494,1,2025,10350.0
315494,1,2025,190.0
315494,1,2025,6237.0
315494,1,2025,1246.0
315796,1,2025,1350.0
315796,1,2025,1350.0
316997,1,2025,58800.0
316997,1,2025,136656.0
316997,1,2025,136656.0
316997,1,2025,136656.0
316997,1,2025,136656.0
316997,1,2025,100620.0
316997,1,2025,13104.0
316997,1,2025,6552.0
316997,1,2025,16380.0
316997,1,2025,3548.0
316997,1,2025,3548.0
316997,1,2025,3548.0
316997,1,2025,3548.0
316997,1,2025,3548.0
317144,1,2025,443500.0
317144,1,2025,2225809.0
317896,1,2025,556.0
317896,1,2025,556.0
317896,1,2025,245.0
317896,1,2025,245.0
318299,1,2025,28800.0
318299,1,2025,28800.0
318299,1,2025,28800.0
318299,1,2025,28800.0
318299,1,2025,28800.0
318299,1,2025,28800.0
312720,1,2025,29700.0
313084,1,2025,1868934.0
313211,1,2025,9349.0
313211,1,2025,9349.0
313211,1,2025,9349.0
314668,1,2025,2360.0
314668,1,2025,2360.0
314668,1,2025,380.0
314668,1,2025,380.0
314668,1,2025,380.0
314668,1,2025,1980.0
314668,1,2025,1980.0
314668,1,2025,1980.0
314668,1,2025,200.0
314668,1,2025,54410.0
315044,1,2025,39298.0
315044,1,2025,39298.0
316849,1,2025,5000.0
316849,1,2025,5000.0
316849,1,2025,5000.0
316849,1,2025,5000.0
316849,1,2025,5000.0
316849,1,2025,5000.0
